band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band_W_m2_sr_um,sky_radiance_band_W_m2_sr_um,path_scattering_radiance_band_W_m2_sr_um,solar_irradiance_band_W_m2_um,unit_status,integration_method,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,23,5,3,2,45,0.6954136838,0.57325377,0.09798698768,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis23_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,5,3,2,45,0.6955994072,0.5734693103,0.09794381498,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis50_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,3,5,45,0.5950834938,0.57325377,0.1300049492,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng5_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,5,3,5,45,0.5950834938,0.57325377,0.1300049492,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng5_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng5_vis5_aerRural_humdefault;MWIR_solar_obs5_tar3_rng5_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,5,3,5,45,0.5950834938,0.57325377,0.1300049492,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng5_vis10_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng5_vis10_aerRural_humdefault;MWIR_solar_obs5_tar3_rng5_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,5,3,5,45,0.5950834938,0.57325377,0.1300049492,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng5_vis23_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng5_vis23_aerRural_humdefault;MWIR_solar_obs5_tar3_rng5_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,5,3,5,45,0.5954663879,0.5734693103,0.1299151761,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng5_vis50_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng5_vis50_aerRural_humdefault;MWIR_solar_obs5_tar3_rng5_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,3,10,45,0.5004580103,0.57325377,0.1602409749,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng10_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng10_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng10_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,5,3,10,45,0.5004580103,0.57325377,0.1602409749,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng10_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng10_vis5_aerRural_humdefault;MWIR_solar_obs5_tar3_rng10_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,5,3,10,45,0.5004580103,0.57325377,0.1602409749,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng10_vis10_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng10_vis10_aerRural_humdefault;MWIR_solar_obs5_tar3_rng10_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,5,3,10,45,0.5004580103,0.57325377,0.1602409749,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng10_vis23_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng10_vis23_aerRural_humdefault;MWIR_solar_obs5_tar3_rng10_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,5,3,10,45,0.5010837216,0.5734693103,0.1600958178,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng10_vis50_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng10_vis50_aerRural_humdefault;MWIR_solar_obs5_tar3_rng10_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,3,20,45,0.3911508774,0.57325377,0.1944782613,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng20_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng20_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng20_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,5,3,20,45,0.3911508774,0.57325377,0.1944782613,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng20_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng20_vis5_aerRural_humdefault;MWIR_solar_obs5_tar3_rng20_vis5_aerRural_humdefault_sza45
