"case_id","engine_path","engine_file_version","generated_at","output_kind","output_file","output_sha256"
"qc_range_30_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.4715630+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_30_thermal\MODOUT2.txt","d2d3766fb589961af0d8f37034004659ffd4db9917b7731a24b78f7130d75cc0"
"qc_range_30_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.4740536+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_30_thermal\MODOUT1.txt","6044aad786077e69af5cf6fba45b26be105f0a186161284a53cfe64ead157abe"
"qc_range_30_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.5901594+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_30_trans\MODOUT2.txt","5c520949fd1c6c18eb89379ea45d5175887f0ff403c7d7892a084c87d440a07b"
"qc_range_30_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.5928700+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_30_trans\MODOUT1.txt","d0f0a4b3bf1607afc03002fba946effa01e78b6d1e5c79263fb1c9bca3cc400b"
"qc_range_50_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.7016775+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_50_thermal\MODOUT2.txt","6cac836b2c4eeeba8fa527ac2b33a1062ca614f9b06e0e09ab5fa48b1ffc5c5b"
"qc_range_50_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.7044024+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_50_thermal\MODOUT1.txt","7850be5a6d714964a1dc456bc636bf42175dd12ebd661a9935ab6ba0669efd97"
"qc_range_50_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.8206962+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_50_trans\MODOUT2.txt","d057ce9c91442e316081bf726599fbbbb82b90f92fe39ed14c8083968da605bc"
"qc_range_50_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.8239288+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_50_trans\MODOUT1.txt","e3179352240f4df6f2f9d567ba89b7711a089d029c31f5804ceb8fe5e5d6b856"
"qc_sza_0_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.9561205+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_0_solar\MODOUT2.txt","adced7413c924bb8081027a2d76333703f50bcc1fb45f7b222c04a99c591aa9c"
"qc_sza_0_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.9584477+08:00","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_0_solar\tape7.scn","a9983a8cad4d305b0eba18273d3a479af809b559a952671514da35697d2cc831"
