case_id,source_file,raw_unit_radiance,raw_unit_irradiance,si_unit_radiance,si_unit_irradiance,conversion_method,wavenumber_cm1,wavelength_um,tau_los,path_thermal_native,path_thermal_W_m2_sr_um,thermal_scatter_native,thermal_scatter_W_m2_sr_um,surface_emission_native,surface_emission_W_m2_sr_um,solar_scatter_native,solar_scatter_W_m2_sr_um,single_scatter_native,single_scatter_W_m2_sr_um,ground_reflected_native,ground_reflected_W_m2_sr_um,direct_reflected_native,direct_reflected_W_m2_sr_um,total_radiance_native_diagnostic_only,path_radiance_excluding_surface_W_m2_sr_um
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2243.0,4.458314757021846,0.05502401,2.6517e-08,0.13340832633299998,0.0,0.0,0.0,0.0,1.5604e-12,7.850448859599999e-06,1.5604e-12,7.850448859599999e-06,0.0,0.0,0.0,0.0,2.6518e-08,0.13341617678185957
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2244.0,4.45632798573975,0.04366296,2.3585e-08,0.11876311656,0.0,0.0,0.0,0.0,1.2333e-12,6.210326548800001e-06,1.2333e-12,6.210326548800001e-06,0.0,0.0,0.0,0.0,2.3586e-08,0.1187693268865488
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2245.0,4.4543429844097995,0.05884103,2.6196e-08,0.1320284949,0.0,0.0,0.0,0.0,1.6943e-12,8.539314357500001e-06,1.6943e-12,8.539314357500001e-06,0.0,0.0,0.0,0.0,2.6197e-08,0.13203703421435747
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2246.0,4.452359750667854,0.04583781,2.3732e-08,0.11971645371200003,0.0,0.0,0.0,0.0,1.2919e-12,6.517010220400001e-06,1.2919e-12,6.517010220400001e-06,0.0,0.0,0.0,0.0,2.3733e-08,0.11972297072222043
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2247.0,4.4503782821539835,0.0661051,2.6045e-08,0.13150143940499998,0.0,0.0,0.0,0.0,1.9767e-12,9.980376090299998e-06,1.9767e-12,9.980376090299998e-06,0.0,0.0,0.0,0.0,2.6047e-08,0.13151141978109027
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2248.0,4.448398576512456,0.04423382,2.3544e-08,0.11897969817599999,0.0,0.0,0.0,0.0,1.1804e-12,5.9651561216000005e-06,1.1804e-12,5.9651561216000005e-06,0.0,0.0,0.0,0.0,2.3545e-08,0.11898566333212159
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2249.0,4.44642063139173,0.04473461,2.4758e-08,0.12522598875799998,0.0,0.0,0.0,0.0,1.368e-12,6.9193453679999985e-06,1.368e-12,6.9193453679999985e-06,0.0,0.0,0.0,0.0,2.4759e-08,0.12523290810336798
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2250.0,4.444444444444445,0.01914772,2.1897e-08,0.1108535625,0.0,0.0,0.0,0.0,5.8048e-13,2.9386799999999994e-06,5.8048e-13,2.9386799999999994e-06,0.0,0.0,0.0,0.0,2.1898e-08,0.11085650118
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2251.0,4.44247001332741,0.05059044,2.5581e-08,0.12961895258099998,0.0,0.0,0.0,0.0,1.5754e-12,7.982553375399998e-06,1.5754e-12,7.982553375399998e-06,0.0,0.0,0.0,0.0,2.5583e-08,0.12962693513437537
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2252.0,4.440497335701599,0.01403664,2.1138e-08,0.10720145155199999,0.0,0.0,0.0,0.0,4.979e-13,2.5251018416e-06,4.979e-13,2.5251018416e-06,0.0,0.0,0.0,0.0,2.1139e-08,0.10720397665384158
