case_id,source_file,raw_unit_radiance,raw_unit_irradiance,si_unit_radiance,si_unit_irradiance,conversion_method,wavelength_nm,wavelength_um,altitude_km,upward_diffuse_native_W_cm2_nm,downward_diffuse_native_W_cm2_nm,direct_solar_native_W_cm2_nm,upward_diffuse_W_m2_um,downward_diffuse_W_m2_um,direct_solar_W_m2_um
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3703.7,3.7037,5.0,3.27104e-07,8.15769e-08,6.85967e-07,3.27104,0.815769,6.85967
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3702.33,3.70233,5.0,3.31886e-07,8.14614e-08,6.85003e-07,3.31886,0.814614,6.850029999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3700.96,3.7009600000000002,5.0,3.18666e-07,8.09809e-08,6.81461e-07,3.18666,0.809809,6.81461
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3699.59,3.69959,5.0,3.17216e-07,8.0827e-08,6.80347e-07,3.1721600000000003,0.80827,6.80347
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3698.22,3.6982199999999996,5.0,3.21415e-07,8.0904e-08,6.80889e-07,3.21415,0.80904,6.80889
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3696.86,3.69686,5.0,3.05433e-07,8.09547e-08,6.81572e-07,3.0543299999999998,0.809547,6.815720000000001
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3695.49,3.69549,5.0,2.75538e-07,8.12735e-08,6.84846e-07,2.7553799999999997,0.812735,6.84846
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3694.13,3.69413,5.0,2.44049e-07,8.15087e-08,6.86184e-07,2.44049,0.815087,6.86184
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3692.76,3.6927600000000003,5.0,2.20567e-07,8.1386e-08,6.84351e-07,2.20567,0.81386,6.84351
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3691.4,3.6914000000000002,5.0,2.29323e-07,8.15639e-08,6.87408e-07,2.29323,0.815639,6.87408
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3690.04,3.6900399999999998,5.0,2.46615e-07,8.13511e-08,6.86636e-07,2.46615,0.813511,6.866359999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3688.68,3.6886799999999997,5.0,2.44244e-07,7.98074e-08,6.72252e-07,2.4424400000000004,0.7980740000000001,6.722519999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3687.32,3.68732,5.0,2.47637e-07,7.937e-08,6.68122e-07,2.4763699999999997,0.7937000000000001,6.68122
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3685.96,3.68596,5.0,2.5798e-07,8.10673e-08,6.83891e-07,2.5797999999999996,0.810673,6.83891
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3684.6,3.6846,5.0,2.29612e-07,8.16351e-08,6.88127e-07,2.29612,0.8163509999999999,6.881270000000001
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3683.24,3.6832399999999996,5.0,1.73475e-07,8.06543e-08,6.77506e-07,1.73475,0.806543,6.775060000000001
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3681.89,3.6818899999999997,5.0,1.53659e-07,8.03045e-08,6.74783e-07,1.5365900000000001,0.803045,6.74783
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3680.53,3.68053,5.0,1.62846e-07,8.071e-08,6.78977e-07,1.62846,0.8071,6.78977
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3679.18,3.6791799999999997,5.0,1.57462e-07,8.12016e-08,6.77725e-07,1.5746200000000001,0.8120160000000001,6.77725
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3677.82,3.67782,5.0,1.308e-07,8.11747e-08,6.61702e-07,1.308,0.811747,6.61702
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3676.47,3.6764699999999997,5.0,1.00036e-07,8.05344e-08,6.39285e-07,1.00036,0.805344,6.39285
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3675.12,3.6751199999999997,5.0,8.56614e-08,8.01799e-08,6.29323e-07,0.856614,0.801799,6.293229999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3673.77,3.67377,5.0,8.45808e-08,8.0148e-08,6.28555e-07,0.845808,0.80148,6.285550000000001
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3672.42,3.6724200000000002,5.0,1.00283e-07,8.0401e-08,6.39392e-07,1.0028299999999999,0.8040100000000001,6.39392
